1454 96
1182 142
1124 189
1053 237
983 283
952 331
938 377
907 425
880 471
876 566
819 612
777 895
707 942
701 1248
689 1681
687 1728
682 1775
664 1967
638 2303
614 3105
596 3246
589 4092
588 4372
577 4931
576 4978
572 16442
569 40147
566 60348
565 70523
552 89523


64 37 9 57 71 38 8 31 43 2 15 62 32 72 61 27 73 20 46 47 29 1 67 5 50 16 39 11 25 66 75 74 3 44 28 26 51 33 45 7 34 6 52 10 65 58 13 18 53 12 56 14 4 36 19 69 59 70 35 68 60 21 63 41 40 42 0 55 22 48 23 17 49 24 54 30 
 Best tour Lenght 552
