31989 5935
9709 11744
5635 17546
4556 23350
3940 29212
3688 40925
3680 46735
3546 70135
3530 87683
3365 122246
3346 203325
3335 331718
3279 384473
3250 541243
3238 900842
3177 906640
3109 918209
3076 976251
3024 1146183
3012 1151989
3007 1163617
2972 1186588
2927 1215408
2856 1238344
2842 1267124


142 141 146 145 144 198 197 196 193 194 195 200 201 202 203 204 211 206 205 207 252 253 256 255 254 251 208 209 210 213 212 215 216 214 217 218 219 220 221 222 223 224 225 226 227 228 229 250 249 246 243 244 245 230 231 232 235 236 237 234 233 238 239 240 241 242 4 5 6 8 7 9 10 11 12 13 14 23 22 24 21 25 26 27 28 125 126 127 128 153 154 152 155 151 150 177 176 175 180 181 182 183 184 186 185 192 191 190 189 188 187 164 163 162 161 160 174 159 158 157 156 118 119 120 121 122 123 124 29 30 31 32 33 34 35 36 37 38 39 40 41 42 59 60 117 116 114 115 85 84 83 86 112 111 87 82 81 80 79 78 77 76 74 75 73 72 71 70 69 66 65 64 63 62 61 58 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 67 68 113 110 109 107 108 88 89 90 91 92 93 94 95 96 97 98 99 100 168 101 102 103 104 105 106 173 172 171 170 169 167 166 165 179 178 149 148 147 138 137 265 264 263 262 261 260 259 258 257 248 247 277 278 2 279 1 0 3 276 275 274 273 272 271 270 15 16 17 18 19 20 129 130 131 132 133 269 268 134 135 267 266 136 140 139 199 143 
 Best tour Lenght 2842
